#Z   A   Spin   Magnetic moment (µN)   g-factor
0   1   0.5   -1.9130427   -3.8260854
1   1   0.5   2.79284734   5.58569468
1   2   1.0   0.857438228   0.857438228
1   3   0.5   2.97896244   5.95792488
2   3   0.5   -2.12749772   -4.25499544
3   6   1.0   0.8220473   0.8220473
3   7   1.5   3.256427   2.1709513333333335
3   8   2.0   1.6534   0.8267
3   9   1.5   3.4391   2.292733333333333
3   11   1.5   3.668   2.4453333333333336
4   9   1.5   -1.1778   -0.7852
5   8   2.0   1.0355   0.51775
5   10   3.0   1.80064478   0.6002149266666666
5   11   1.5   2.6886489   1.7924326
5   12   1.0   1.00272   1.00272
5   13   1.5   3.1778   2.118533333333333
5   14   2.0   1.185   0.5925
5   15   1.5   2.659   1.7726666666666666
5   17   1.5   2.55   1.7
6   9   1.5   1.3914   0.9276
6   11   1.5   -0.964   -0.6426666666666666
6   12   2.0   0.06   0.03
6   13   0.5   0.7024118   1.4048236
6   14   3.0   0.82   0.2733333333333333
6   15   0.5   1.32   2.64
7   12   1.0   0.4573   0.4573
7   13   0.5   0.3222   0.6444
7   14   1.0   0.403761   0.403761
7   15   0.5   -0.28318884   -0.56637768
7   16   3.0   1.6   0.5333333333333333
7   17   0.5   0.352   0.704
8   13   1.5   1.3891   0.9260666666666667
8   15   0.5   0.71951   1.43902
8   16   3.0   1.668   0.5559999999999999
8   17   2.5   -1.89379   -0.7575160000000001
8   18   2.0   -0.57   -0.285
8   19   2.5   1.53195   0.61278
8   20   2.0   0.7   0.35
9   17   2.5   4.7213   1.8885200000000002
9   18   3.0   1.6   0.5333333333333333
9   19   0.5   2.628868   5.257736
9   20   2.0   2.09335   1.046675
9   21   2.5   3.93   1.572
10   19   0.5   -1.88542   -3.77084
10   20   2.0   1.08   0.54
10   21   1.5   -0.661797   -0.441198
10   22   2.0   0.65   0.325
10   23   2.5   -1.08   -0.43200000000000005
11   20   2.0   0.3694   0.1847
11   21   1.5   2.8363   1.8908666666666667
11   22   3.0   1.746   0.582
11   23   1.5   2.217522   1.4783480000000002
11   24   4.0   1.6903   0.422575
11   25   2.5   3.683   1.4731999999999998
