Masa Fragmento 1 (4He): 4.003 u
Masa Fragmento 2 (3He): 3.016 u
E1 (MeV)     E2 (MeV)     Sección Eficaz     E_rel (MeV) 
----------------------------------------------------------
10.000000    19.558077    8.733631e-02       3.708932    
10.000000    19.558184    8.729120e-02       3.709149    
10.000000    19.558504    8.715609e-02       3.709802    
10.500000    19.141350    1.600216e-01       3.525016    
10.500000    19.141458    1.599074e-01       3.525236    
10.500000    19.141782    1.595657e-01       3.525893    
11.000000    18.721800    3.392088e-01       3.354735    
11.000000    18.721909    3.388189e-01       3.354955    
11.000000    18.722237    3.376537e-01       3.355617    
11.500000    18.299709    1.011927e+00       3.197728    
11.500000    18.299819    1.009857e+00       3.197950    
11.500000    18.300150    1.003682e+00       3.198616    
12.000000    17.875326    2.969780e+00       3.053692    
12.000000    17.875437    2.970150e+00       3.053914    
12.000000    17.875770    2.971058e+00       3.054582    
12.500000    17.448872    8.267015e-01       2.922367    
12.500000    17.448984    8.286182e-01       2.922590    
12.500000    17.449319    8.344006e-01       2.923260    
13.000000    17.020543    2.401626e-01       2.803538    
13.000000    17.020655    2.405826e-01       2.803761    
13.000000    17.020992    2.418477e-01       2.804432    
13.500000    16.590513    9.379408e-02       2.697027    
13.500000    16.590626    9.394142e-02       2.697251    
13.500000    16.590965    9.438468e-02       2.697921    
14.000000    16.158940    4.667905e-02       2.602694    
14.000000    16.159053    4.674611e-02       2.602917    
14.000000    16.159393    4.694775e-02       2.603587    
14.500000    15.725963    3.354801e-02       2.520431    
14.500000    15.726077    3.358212e-02       2.520654    
14.500000    15.726418    3.368468e-02       2.521322    
15.000000    15.291710    3.382586e-02       2.450165    
15.000000    15.291824    3.384373e-02       2.450387    
15.000000    15.292165    3.389747e-02       2.451052    
20.000000    10.899134    5.289454e-02       2.413318    
20.000000    10.899244    5.290737e-02       2.413517    
20.000000    10.899575    5.294619e-02       2.414115    
20.500000    10.456287    6.414318e-02       2.479219    
20.500000    10.456397    6.417917e-02       2.479415    
20.500000    10.456724    6.428761e-02       2.480001    
21.000000    10.012951    8.800772e-02       2.558833    
21.000000    10.013059    8.808359e-02       2.559025    
21.000000    10.013384    8.831196e-02       2.559599    
21.500000    9.569144     1.372123e-01       2.652591    
21.500000    9.569251     1.373669e-01       2.652778    
21.500000    9.569572     1.378323e-01       2.653339    
22.000000    9.124876     2.526192e-01       2.760991    
22.000000    9.124981     2.529833e-01       2.761174    
22.000000    9.125298     2.540797e-01       2.761722    
22.500000    8.680148     6.451070e-01       2.884616    
22.500000    8.680253     6.463958e-01       2.884793    
22.500000    8.680566     6.502811e-01       2.885326    
23.000000    8.234955     2.721543e+00       3.024139    
23.000000    8.235058     2.725984e+00       3.024311    
23.000000    8.235366     2.739267e+00       3.024828    
23.500000    7.789276     1.377238e+00       3.180348    
23.500000    7.789377     1.375791e+00       3.180515    
23.500000    7.789681     1.371462e+00       3.181014    
24.000000    7.343081     5.512926e-01       3.354164    
24.000000    7.343180     5.510843e-01       3.354325    
24.000000    7.343478     5.504604e-01       3.354806    
24.500000    6.896322     3.594565e-01       3.546673    
24.500000    6.896419     3.593768e-01       3.546827    
24.500000    6.896711     3.591377e-01       3.547289    
25.000000    6.448932     2.585086e-01       3.759164    
25.000000    6.449027     2.584431e-01       3.759311    
25.000000    6.449313     2.582465e-01       3.759752    
10.000000    19.412085    7.198517e-02       3.543785    
10.000000    19.412193    7.195085e-02       3.544025    
10.000000    19.412517    7.184802e-02       3.544745    
10.500000    18.998989    1.268963e-01       3.360653    
10.500000    18.999098    1.268197e-01       3.360895    
10.500000    18.999426    1.265904e-01       3.361621    
11.000000    18.582988    2.408164e-01       3.191236    
11.000000    18.583099    2.406073e-01       3.191480    
11.000000    18.583431    2.399819e-01       3.192211    
11.500000    18.164372    5.400043e-01       3.035177    
11.500000    18.164484    5.392423e-01       3.035422    
11.500000    18.164818    5.369670e-01       3.036157    
12.000000    17.743393    1.693672e+00       2.892170    
12.000000    17.743505    1.689824e+00       2.892416    
12.000000    17.743843    1.678342e+00       2.893155    
12.500000    17.320276    3.159247e+00       2.761958    
12.500000    17.320389    3.163309e+00       2.762205    
12.500000    17.320729    3.175336e+00       2.762946    
13.000000    16.895222    8.749448e-01       2.644325    
13.000000    16.895336    8.770515e-01       2.644572    
13.000000    16.895677    8.834078e-01       2.645314    
13.500000    16.468408    2.934340e-01       2.539095    
13.500000    16.468522    2.939914e-01       2.539342    
13.500000    16.468865    2.956708e-01       2.540084    
14.000000    16.039994    1.299371e-01       2.446127    
14.000000    16.040109    1.301557e-01       2.446374    
14.000000    16.040454    1.308136e-01       2.447116    
14.500000    15.610125    7.340856e-02       2.365316    
14.500000    15.610240    7.351768e-02       2.365563    
14.500000    15.610586    7.384590e-02       2.366303    
15.000000    15.178929    5.525591e-02       2.296590    
15.000000    15.179045    5.531809e-02       2.296836    
15.000000    15.179391    5.550506e-02       2.297574    
15.500000    14.746523    5.272110e-02       2.239906    
15.500000    14.746639    5.275937e-02       2.240151    
15.500000    14.746985    5.287444e-02       2.240886    
16.000000    14.313012    5.597863e-02       2.195255    
16.000000    14.313128    5.600315e-02       2.195498    
16.000000    14.313474    5.607689e-02       2.196229    
16.500000    13.878491    6.030828e-02       2.162656    
16.500000    13.878606    6.032387e-02       2.162898    
16.500000    13.878952    6.037076e-02       2.163623    
17.000000    13.443045    6.349946e-02       2.142161    
17.000000    13.443160    6.350855e-02       2.142401    
17.000000    13.443505    6.353594e-02       2.143121    
17.500000    13.006751    6.469805e-02       2.133854    
17.500000    13.006866    6.470220e-02       2.134092    
17.500000    13.007210    6.471474e-02       2.134805    
18.000000    12.569678    6.387537e-02       2.137852    
18.000000    12.569793    6.387605e-02       2.138087    
18.000000    12.570136    6.387817e-02       2.138793    
18.500000    12.131889    6.153908e-02       2.154305    
18.500000    12.132003    6.153825e-02       2.154537    
18.500000    12.132344    6.153586e-02       2.155235    
19.000000    11.693436    5.866552e-02       2.183403    
19.000000    11.693550    5.866615e-02       2.183632    
19.000000    11.693889    5.866822e-02       2.184320    
19.500000    11.254369    5.678129e-02       2.225374    
19.500000    11.254482    5.678797e-02       2.225600    
19.500000    11.254819    5.680822e-02       2.226278    
20.000000    10.814728    5.827242e-02       2.280491    
20.000000    10.814840    5.829244e-02       2.280713    
20.000000    10.815175    5.835285e-02       2.281380    
20.500000    10.374548    6.722863e-02       2.349076    
20.500000    10.374659    6.727529e-02       2.349294    
20.500000    10.374991    6.741588e-02       2.349949    
21.000000    9.933856     9.244838e-02       2.431504    
21.000000    9.933966     9.255261e-02       2.431718    
21.000000    9.934295     9.286658e-02       2.432360    
21.500000    9.492674     1.613322e-01       2.528213    
21.500000    9.492782     1.615951e-01       2.528422    
21.500000    9.493107     1.623877e-01       2.529049    
22.000000    9.051012     4.079645e-01       2.639710    
22.000000    9.051119     4.089049e-01       2.639914    
22.000000    9.051441     4.117421e-01       2.640526    
22.500000    8.608877     1.640362e+00       2.766584    
22.500000    8.608983     1.643600e+00       2.766783    
22.500000    8.609300     1.653298e+00       2.767380    
23.000000    8.166264     1.139647e+00       2.909522    
23.000000    8.166368     1.138489e+00       2.909715    
23.000000    8.166680     1.135024e+00       2.910295    
23.500000    7.723156     5.066633e-01       3.069323    
23.500000    7.723259     5.064769e-01       3.069510    
23.500000    7.723566     5.059188e-01       3.070070    
24.000000    7.279526     3.552845e-01       3.246921    
24.000000    7.279627     3.552249e-01       3.247101    
24.000000    7.279929     3.550462e-01       3.247642    
24.500000    6.835331     2.807103e-01       3.443420    
24.500000    6.835429     2.806566e-01       3.443593    
24.500000    6.835725     2.804952e-01       3.444113    
10.500000    18.855230    1.014997e-01       3.200701    
10.500000    18.855341    1.014464e-01       3.200965    
10.500000    18.855674    1.012868e-01       3.201759    
11.000000    18.442831    1.800482e-01       3.032231    
11.000000    18.442943    1.799243e-01       3.032498    
11.000000    18.443279    1.795534e-01       3.033297    
11.500000    18.027739    3.444127e-01       2.877195    
11.500000    18.027852    3.440687e-01       2.877463    
11.500000    18.028191    3.430402e-01       2.878268    
12.000000    17.610213    7.747631e-01       2.735288    
12.000000    17.610327    7.735332e-01       2.735557    
12.000000    17.610669    7.698618e-01       2.736365    
12.500000    17.190482    2.284314e+00       2.606252    
12.500000    17.190596    2.279107e+00       2.606522    
12.500000    17.190941    2.263558e+00       2.607333    
13.000000    16.768749    3.551079e+00       2.489872    
13.000000    16.768864    3.556164e+00       2.490143    
13.000000    16.769210    3.571243e+00       2.490955    
13.500000    16.345197    1.143311e+00       2.385974    
13.500000    16.345313    1.146318e+00       2.386245    
13.500000    16.345661    1.155391e+00       2.387058    
14.000000    15.919989    4.234958e-01       2.294419    
14.000000    15.920105    4.244028e-01       2.294690    
14.000000    15.920454    4.271376e-01       2.295502    
14.500000    15.493271    2.066842e-01       2.215102    
14.500000    15.493388    2.070635e-01       2.215373    
14.500000    15.493738    2.082058e-01       2.216184    
15.000000    15.065176    1.277624e-01       2.147952    
15.000000    15.065293    1.279624e-01       2.148222    
15.000000    15.065644    1.285643e-01       2.149031    
15.500000    14.635823    9.892073e-02       2.092929    
15.500000    14.635940    9.904270e-02       2.093198    
15.500000    14.636291    9.940959e-02       2.094004    
16.000000    14.205320    9.086146e-02       2.050025    
16.000000    14.205437    9.094314e-02       2.050292    
16.000000    14.205788    9.118877e-02       2.051094    
16.500000    13.773763    9.112622e-02       2.019262    
16.500000    13.773880    9.118438e-02       2.019528    
16.500000    13.774231    9.135923e-02       2.020325    
17.000000    13.341241    9.371589e-02       2.000695    
17.000000    13.341358    9.375879e-02       2.000959    
17.000000    13.341708    9.388777e-02       2.001749    
17.500000    12.907834    9.567904e-02       1.994410    
17.500000    12.907950    9.571118e-02       1.994671    
17.500000    12.908299    9.580780e-02       1.995455    
18.000000    12.473611    9.574419e-02       2.000526    
18.000000    12.473727    9.576847e-02       2.000784    
18.000000    12.474074    9.584147e-02       2.001560    
18.500000    12.038637    9.366608e-02       2.019198    
18.500000    12.038753    9.368505e-02       2.019454    
18.500000    12.039098    9.374211e-02       2.020221    
19.000000    11.602969    8.996359e-02       2.050620    
19.000000    11.603084    8.998035e-02       2.050872    
19.000000    11.603428    9.003083e-02       2.051629    
19.500000    11.166657    8.589584e-02       2.095023    
19.500000    11.166771    8.591524e-02       2.095272    
19.500000    11.167113    8.597373e-02       2.096018    
20.000000    10.729744    8.386493e-02       2.152686    
20.000000    10.729857    8.389615e-02       2.152931    
20.000000    10.730196    8.399025e-02       2.153666    
20.500000    10.292267    8.926967e-02       2.223936    
20.500000    10.292379    8.933524e-02       2.224177    
20.500000    10.292715    8.953302e-02       2.224899    
21.000000    9.854255     1.195572e-01       2.309154    
21.000000    9.854366     1.197343e-01       2.309390    
21.000000    9.854699     1.202690e-01       2.310098    
21.500000    9.415731     2.620440e-01       2.408785    
21.500000    9.415841     2.627274e-01       2.409016    
21.500000    9.416170     2.647911e-01       2.409709    
22.000000    8.976711     9.168139e-01       2.523344    
22.000000    8.976820     9.184666e-01       2.523569    
22.000000    8.977145     9.234009e-01       2.524246    
22.500000    8.537202     6.925703e-01       2.653429    
